ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAIizQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.ChipPerformence	chipperformence	1591024169011	 	3.3.1
USER	Update	296	START	1591024172018	1591024172018
REQUEST	435		Home	1591024171120	1591024172027	OK	 
REQUEST	238		Home	1591024171271	1591024172032	OK	 
USER	Show	507	START	1591024172018	1591024172018
REQUEST	662		Home	1591024171273	1591024172035	OK	 
USER	Show	508	START	1591024172034	1591024172034
USER	Delete	720	START	1591024172036	1591024172036
REQUEST	663		Home	1591024171348	1591024172046	OK	 
USER	Delete	719	START	1591024172019	1591024172019
USER	Update	298	START	1591024172047	1591024172047
REQUEST	455		Home	1591024171376	1591024172048	OK	 
USER	Show	509	START	1591024172048	1591024172048
USER	Create	92	START	1591024172049	1591024172049
USER	Delete	721	START	1591024172049	1591024172049
USER	Update	299	START	1591024172049	1591024172049
USER	Delete	722	START	1591024172050	1591024172050
USER	Show	510	START	1591024172050	1591024172050
USER	Create	93	START	1591024172051	1591024172051
USER	Update	300	START	1591024172051	1591024172051
USER	Show	511	START	1591024172051	1591024172051
USER	Delete	723	START	1591024172051	1591024172051
USER	Create	94	START	1591024172052	1591024172052
USER	Update	301	START	1591024172052	1591024172052
USER	Delete	724	START	1591024172053	1591024172053
USER	Create	95	START	1591024172053	1591024172053
REQUEST	649		Home	1591024171131	1591024172054	OK	 
USER	Delete	725	START	1591024172054	1591024172054
USER	Create	96	START	1591024172054	1591024172054
USER	Update	303	START	1591024172055	1591024172055
REQUEST	441		Home	1591024171159	1591024172055	OK	 
USER	Show	514	START	1591024172055	1591024172055
USER	Delete	726	START	1591024172056	1591024172056
USER	Create	97	START	1591024172058	1591024172058
USER	Update	304	START	1591024172059	1591024172059
USER	Show	515	START	1591024172061	1591024172061
USER	Delete	727	START	1591024172062	1591024172062
USER	Create	98	START	1591024172063	1591024172063
USER	Update	305	START	1591024172064	1591024172064
USER	Show	516	START	1591024172065	1591024172065
USER	Delete	728	START	1591024172067	1591024172067
USER	Create	99	START	1591024172067	1591024172067
USER	Update	306	START	1591024172068	1591024172068
USER	Show	517	START	1591024172069	1591024172069
USER	Delete	729	START	1591024172069	1591024172069
USER	Create	100	START	1591024172070	1591024172070
USER	Update	307	START	1591024172071	1591024172071
USER	Show	518	START	1591024172071	1591024172071
USER	Delete	730	START	1591024172072	1591024172072
USER	Create	101	START	1591024172076	1591024172076
USER	Update	308	START	1591024172077	1591024172077
USER	Show	519	START	1591024172078	1591024172078
USER	Delete	731	START	1591024172080	1591024172080
USER	Create	102	START	1591024172081	1591024172081
USER	Update	309	START	1591024172082	1591024172082
USER	Show	520	START	1591024172084	1591024172084
USER	Create	103	START	1591024172085	1591024172085
USER	Delete	732	START	1591024172085	1591024172085
USER	Show	513	START	1591024172053	1591024172053
